Company_Symbol,Total-Score,E-Score,S-Score,G-Score
A,11.395936157987277,0.9956991408281433,6.001079095600068,4.17391883111153
AAPL,15.064635694075966,0.5591959074830212,5.947646098176315,8.498633915811988
ABBV,27.458170073239366,2.146419291652378,16.41768331696731,8.13123635867792
ABT,21.21807766011856,1.7216844952164887,13.293708511530316,6.225313092454843
ACGL,19.43576780792047,1.3896579630767807,8.872646870016764,8.655150027316328
ACN,10.379453709216744,1.7548408232190003,5.788744881601977,2.943353772073973
ADBE,13.614274712276734,2.1027096765641065,6.428997933914817,5.036037143212028
ADI,18.60923019058475,6.762654862235168,6.402245007183447,5.344841470060495
ADM,31.415587200877575,17.474484552352745,9.875074340561566,3.9544562773850536
ADP,14.950452229440993,4.299750075228916,6.700841184309596,4.027775639671045
ADSK,14.485342392801417,3.9225197331221238,6.896300135847687,3.6793884806949793
AEE,26.138146831991964,11.307203946936635,8.241346750122206,4.889907721559785
AEP,21.447017248361142,9.872296022674604,7.291455050954271,4.159500602383375
AES,25.72686086355163,11.598036561660717,9.709433806493648,4.076189509126882
AFL,16.26090661360386,0.20768574231196002,8.717145738788071,7.3450437183629615
AIG,22.24921178953209,1.856288484370435,9.896254146549994,10.291531479800334
AIZ,23.198049659369357,1.725147511945322,10.621679054693193,9.915057052637371
AJG,19.435637101802442,0.17779124564795729,10.506352711140238,8.872462886239457
AKAM,13.45406097233597,2.9336230837656876,6.017691432389898,4.360652983196794
ALB,19.092927784319407,11.419106772125156,3.003239631586774,4.744862308596888
ALL,21.001919301037457,1.0522316558773215,10.628397296479195,9.338778628466859
ALLE,20.225273714290392,10.740891986794775,5.896345059645167,3.5371179622063535
AMAT,10.648181536137843,3.572784570140302,2.537313967227644,4.582743047341357
AME,20.61217085963633,7.214483257991614,7.45971696220506,5.425239695207242
AMGN,22.306889729590928,1.4659021212515089,14.231039302743167,6.68489506209586
AMP,18.764556629477337,1.9407230804211768,6.1929987354487945,9.083852400777127
AMT,10.31852526188592,3.092941085315956,2.7836398312644346,4.43091533953475
AMZN,29.330253579057104,6.460153773053774,15.321223127598211,7.762407293081814
ANET,14.200138406561042,0.45709745872240476,8.089133681972504,5.31663308875285
ANSS,13.961741425678046,3.4788822237647485,6.68459312460797,3.9027557530231363
AON,-0.13904026097847375,0.09001177786633267,-3.995650693348634,3.7665838526775923
AOS,24.709514902785063,5.83481530527166,12.732693735552441,6.153247965525748
APA,47.28888986505991,31.291296647900054,8.20392157151806,7.394787210951626
APD,14.099962393076954,8.315472321144318,2.9215929184448193,2.8266723445966284
APH,17.719915722656737,7.420701341894754,4.495216007527837,5.541316667633946
APTV,11.296029824381334,3.470019841443188,3.7396341039519165,3.787976758052122
ARE,12.625267782977826,3.444156494935296,3.035972651530014,6.57551419587738
ATO,32.48468855116456,13.823178538015009,13.16325276695384,4.614879216187609
AVB,8.228865706829549,2.19655095746004,2.060146731463281,3.4817812382554365
AVGO,18.37834997568587,7.789167978914209,6.256090474502613,4.617235485178413
AVY,14.616448269361593,10.428737430663606,0.8553713549345648,3.259554396106336
AWK,18.557223546221312,8.223380693324915,5.962223631170471,3.7679798848303685
AXP,17.51990714687649,0.1151725746850236,9.021576748409581,8.442192278212946
AZO,10.820988998133467,0.14199351854181522,6.8537464700946815,3.734547724247503
BA,36.43053302008398,8.015328855150837,22.11171107430173,6.189645525922039
BAC,25.733442079492722,1.8076917176815823,13.571610262980636,9.757640807256653
BALL,9.925397270286407,9.8111225626502,0.8044777891542402,1.0128438693878454
BAX,21.134696184248376,2.819573695132603,12.704799937041457,5.748003657295771
BBY,14.767014874794182,2.521124162128618,8.73331930960957,3.2234968695226884
BDX,21.017605107362428,3.2025809419847397,12.620288928357008,5.9323173847075585
BEN,18.681841920059178,2.120010695542778,8.824337218438599,7.911146680824023
BG,29.45810429565762,14.62991700619405,13.092455310520858,2.4009153770046705
BIIB,20.067018145598347,0.5001871857222531,12.776126386232752,7.0073197595418675
BK,19.626636959159406,0.5188925845380593,10.16027931278745,9.09601226654774
BKNG,17.63144843681429,0.38156501316047253,10.601675758305978,6.541852655528008
BLK,22.947999113589155,0.8118800649862757,6.4252181557022485,9.97854959459917
BMY,19.956655655628918,0.5362461286425833,14.084533717275685,5.340638021617243
BR,14.872307944476114,4.408385453214013,6.6427892331039144,3.8566939731781225
BRO,20.83310012809715,0.26658612790284664,10.221342241719714,10.169212682964432
BSX,19.912064912153646,2.2769493343000082,10.185996315402912,7.2209841343312675
BWA,7.352576570217778,1.117512563967799,2.4091540378564744,3.7961014328521925
BX,21.791844391140593,1.6972394767969514,8.662476128874136,10.32689536002518
BXP,11.731725370893487,2.4487486905121694,3.9783238213399708,5.368337525769977
C,23.2163748732131,1.6112434030614533,13.025165959499475,8.84811332076848
CAG,27.24070299100574,10.132182194763793,14.406412788633608,3.7237098835263303
CAH,11.508185705854885,0.5546603037407032,6.637874305568424,4.32740989264625
CAT,28.87916600777823,10.25538571257845,12.3412388443479,6.342753677744662
CB,22.205626937173903,1.6924595440823136,12.059705589380016,8.619657454255526
CBOE,20.912386031455817,2.6464831133961866,7.498742302828839,10.744266496932394
CBRE,6.278302319113741,1.40599982527458,1.9153494027561244,2.9288040857859845
CCI,9.084585066620601,3.9354263430446417,1.7521873311952834,3.4024106045495777
CCL,22.436971989719087,7.897441392234029,10.581905038387012,4.446256628990268
CDNS,10.190948383402281,2.392002566016994,4.01971698716302,3.7810538760301258
CDW,7.237611141781889,1.5881950256846875,3.347026283687002,2.58351805264945
