year,Company_Symbol,Total-Score,E-Score,S-Score,G-Score
2020,A,17.143333333333334,0.87,9.416666666666666,6.8566666666666665
2021,A,16.598000000000003,0.8699999999999999,9.44,6.287999999999999
2022,A,15.33,0.34,8.65,6.34
2023,A,14.44,0.7300000000000001,7.535,6.18
2024,A,11.36,1.19,6.23,3.93
2025,A,10.472743178909983,1.090920175388618,5.702196340275293,3.5926054170711237
2026,A,9.583108003235829,0.9964094392011795,4.879913365331323,3.395365416136868
2027,A,8.69309688352244,0.905262364143019,3.7649167792563283,3.337786107720259
2028,A,5.6131286329825265,1.531027003725391,2.459907938979349,1.078171100691419
2029,A,4.725951547888656,1.4333724258232248,1.9321898654917256,0.7405936028289614
2020,AAPL,23.725,0.52,12.99,10.21
2021,AAPL,16.722,0.176,7.694,8.856
2022,AAPL,16.453333333333333,0.65,6.86,8.946666666666667
2023,AAPL,17.22,0.46,7.39,9.37
2024,AAPL,16.79,0.55,7.52,8.72
2025,AAPL,14.571075825398667,0.5786730689225743,5.641994976448952,8.21748678577605
2026,AAPL,12.594119553460835,0.6080044010669721,3.874974535558492,7.974722603776753
2027,AAPL,10.860784214191808,0.6376067707219155,2.206921732076237,7.992244465851564
2028,AAPL,11.964846703786451,0.6913037165334784,3.5818020360363967,7.601163141822431
2029,AAPL,9.745197310588555,0.7203711175852714,1.7167677016430694,7.098055494226407
2020,ABBV,30.56,0.96,17.051666666666666,12.54
2021,ABBV,28.732,0.65,17.0,11.084
2022,ABBV,27.953333333333333,1.12,16.87,9.97
2023,ABBV,29.93,2.38,17.19,10.36
2024,ABBV,26.1,1.78,15.7,8.62
2025,ABBV,25.924037764228785,2.238920518961314,16.10496788658556,7.3617578887139015
2026,ABBV,26.822178936581267,2.7110559039037367,16.4688089847944,6.5966883367447515
2027,ABBV,28.798845034841783,3.1963978625341056,16.788803457982702,6.3241823804261905
2028,ABBV,24.968846764039107,2.9845490927473084,15.298833576557833,4.856772680612483
2029,ABBV,24.79245889936937,3.4432695383773173,15.703752597085932,3.598962300281878
2020,ABT,30.33666666666667,3.36,15.865,11.108333333333334
2021,ABT,29.098000000000003,3.016,15.675999999999998,10.398
2022,ABT,25.633333333333336,3.03,13.556666666666668,9.046666666666669
2023,ABT,24.83,2.27,14.24,8.33
2024,ABT,22.21,1.81,13.84,6.56
2025,ABT,20.094275892008717,1.5244942838877762,13.02688521087923,5.5958044734196575
2026,ABT,18.095592630846063,1.1985727988636432,12.32768748308303,4.627158568999741
2027,ABT,16.21600238459674,0.8311300296613924,11.741109413963548,3.6539993136451363
2028,ABT,13.892297278903595,0.230569172803043,11.737646741148897,1.948714583015569
2029,ABT,11.774608414830443,-0.05392133305096891,10.926089599561765,0.9844539854683259
2020,ACGL,26.22,2.025,10.575,13.62
2021,ACGL,22.964,2.014,7.781999999999999,13.169999999999998
2022,ACGL,21.12,1.47,7.103333333333333,12.553333333333333
2023,ACGL,21.605,1.47,8.705,11.435
2024,ACGL,20.19333333333333,1.5766666666666669,9.793333333333331,8.823333333333332
2025,ACGL,17.904367687406122,1.3563823864269318,9.064782449615508,8.02898699968025
2026,ACGL,17.002101624606084,1.1355054766216366,8.431266448847097,7.073366752579794
2027,ACGL,17.487097596198282,0.914145872887223,7.894847964769033,5.955039803265031
2028,ACGL,16.075441069801514,1.07757631791793,10.053334494417939,3.3433588221066657
2029,ACGL,13.78633676785936,0.8573029102474186,9.323570675851402,2.5490812288648783
2020,ACN,13.323333333333332,0.755,6.585,5.983333333333333
2021,ACN,11.330000000000002,0.55,5.058000000000001,5.722
2022,ACN,9.623333333333331,0.29,4.493333333333333,4.83
2023,ACN,9.84,0.82,4.61,4.41
2024,ACN,11.91,2.06,6.81,3.05
2025,ACN,10.348668162716962,2.0355507316831742,6.042309958772296,2.5319789121478564
2026,ACN,9.132345574246077,2.029230872817349,5.3932894971442735,1.9708220581737939
2027,ACN,8.261474909883141,2.040227012690382,4.863257156205181,1.3663713561610447
2028,ACN,10.792997804447634,3.4957949325708815,7.399649814493999,0.04354743275462969
